Fecha,Valor
2018-02-27T00:00:00,23.7545
2018-02-28T00:00:00,23.7519
2018-03-01T00:00:00,23.7494
2018-03-02T00:00:00,23.7469
2018-03-05T00:00:00,23.7496
2018-03-06T00:00:00,23.7523
2018-03-07T00:00:00,23.7576
2018-03-08T00:00:00,23.763
2018-03-09T00:00:00,23.7683
2018-03-12T00:00:00,23.7771
2018-03-13T00:00:00,23.7858
2018-03-14T00:00:00,23.7893
2018-03-15T00:00:00,23.7927
2018-03-16T00:00:00,23.7962
2018-03-19T00:00:00,23.7996
2018-03-20T00:00:00,23.8031
2018-03-21T00:00:00,23.8031
2018-03-22T00:00:00,23.8031
2018-03-23T00:00:00,23.8031
2018-03-26T00:00:00,23.8054
2018-03-27T00:00:00,23.8054
2018-04-02T00:00:00,23.8054
2018-04-03T00:00:00,23.8076
2018-04-04T00:00:00,23.8098
2018-04-05T00:00:00,23.8121
2018-04-06T00:00:00,23.8143
2018-04-09T00:00:00,23.8167
2018-04-10T00:00:00,23.8189
2018-04-11T00:00:00,23.8189
2018-04-12T00:00:00,23.8189
2018-04-13T00:00:00,23.8189
2018-04-16T00:00:00,23.8189
2018-04-17T00:00:00,23.819
2018-04-18T00:00:00,23.819
2018-04-19T00:00:00,23.819
2018-04-20T00:00:00,23.819
2018-04-23T00:00:00,23.8191
2018-04-24T00:00:00,23.8191
2018-04-25T00:00:00,23.8191
2018-04-26T00:00:00,23.8191
2018-04-27T00:00:00,23.8191
2018-04-30T00:00:00,23.825
2018-05-02T00:00:00,23.8309
2018-05-03T00:00:00,23.8368
2018-05-04T00:00:00,23.8426
2018-05-07T00:00:00,23.8486
2018-05-08T00:00:00,23.8688
2018-05-09T00:00:00,23.889
2018-05-10T00:00:00,23.9033
2018-05-11T00:00:00,23.9176
2018-05-14T00:00:00,23.9319
2018-05-15T00:00:00,23.9575
2018-05-16T00:00:00,23.9832
2018-05-17T00:00:00,23.9946
2018-05-18T00:00:00,24.0059
2018-05-21T00:00:00,24.0173
2018-05-22T00:00:00,24.0327
2018-05-23T00:00:00,24.048
2018-05-24T00:00:00,24.052
2018-05-25T00:00:00,24.056
2018-05-28T00:00:00,24.06
2018-05-29T00:00:00,24.0679
2018-05-30T00:00:00,24.076
2018-05-31T00:00:00,24.08
2018-06-01T00:00:00,24.084
2018-06-04T00:00:00,24.0879
2018-06-05T00:00:00,24.0946
2018-06-06T00:00:00,24.1013
2018-06-07T00:00:00,24.104
2018-06-08T00:00:00,24.1065
2018-06-11T00:00:00,24.1091
2018-06-12T00:00:00,24.1137
2018-06-13T00:00:00,24.1182
2018-06-14T00:00:00,24.1201
2018-06-15T00:00:00,24.122
2018-06-18T00:00:00,24.1238
2018-06-19T00:00:00,24.1269
2018-06-20T00:00:00,24.1301
2018-06-21T00:00:00,24.1313
2018-06-22T00:00:00,24.1326
2018-06-25T00:00:00,24.1338
2018-06-26T00:00:00,24.1391
2018-06-27T00:00:00,24.1445
2018-06-28T00:00:00,24.1486
2018-06-29T00:00:00,24.1527
2018-07-02T00:00:00,24.1567
2018-07-03T00:00:00,24.1599
2018-07-04T00:00:00,24.1632
2018-07-05T00:00:00,24.1623
2018-07-06T00:00:00,24.1615
2018-07-09T00:00:00,24.1605
2018-07-10T00:00:00,24.1606
2018-07-11T00:00:00,24.1606
2018-07-12T00:00:00,24.1616
2018-07-13T00:00:00,24.1626
2018-07-16T00:00:00,24.1635
2018-07-17T00:00:00,24.1603
2018-07-18T00:00:00,24.1574
2018-07-19T00:00:00,24.1535
2018-07-20T00:00:00,24.1494
2018-07-23T00:00:00,24.1454
2018-07-24T00:00:00,24.1424
2018-07-25T00:00:00,24.1394
